"","condominiumIndicator","communityRatingSystemDiscount","dateOfLoss","elevatedBuildingIndicator","latitude","longitude","locationOfContents","lowestFloorElevation","numberOfFloorsInTheInsuredBuilding","occupancyType","primaryResidence","totalAmount","totalCoverage"
"1048","0","2",1998-02-11,"0",39.1,-122.9,"2",0,"2","1","0",18002,128300
"1049","0","2",1997-01-02,"0",39.2,-121.6,"2",0,"2","2","0",25001,125000
"1050","0","1",1997-01-01,"0",39.8,-122,"2",48,"2","2","1",3966.53,68100
"1063","0","2",1997-01-03,"0",39.1,-121.6,"2",0,"2","2","0",4328.25,125000
"1066","0","1",1995-03-11,"0",37,-121.4,"2",0,"2","2","1",1530.83,185000
"1067","0","1",1998-02-03,"0",37,-121.4,"2",0,"2","2","1",233.32,203500
"1083","0","2",1983-11-15,"0",38.2,-122.3,"2",0,"2","2","0",5502.97,49000
"1086","0","1",1978-02-07,"0",38.6,-122.9,"2",0,"2","3","0",3000,9600
"1088","0","1",1981-12-18,"0",38.6,-122.9,"2",0,"2","3","0",5248.22,40000
"1089","0","1",1982-02-15,"0",38.6,-122.9,"2",0,"2","3","0",1317,40000
"1090","0","1",1983-01-23,"0",38.6,-122.9,"2",0,"2","3","0",5233.83,40000
"1093","0","1",1980-12-03,"0",38.6,-122.9,"2",0,"2","2","0",1455.46,11000
"1115","0","2",1998-02-03,"0",37.3,-121,"2",0,"2","2","0",5001,5000
"1118","0","2",1998-02-04,"0",39.1,-121.6,"2",0,"2","2","0",3952.1,93000
"1128","0","3",1995-01-10,"0",38.7,-121.5,"3",0,"3","2","1",10000,120000
"1136","0","2",1995-01-09,"0",39.1,-121.5,"2",0,"2","2","1",678.1,118000
"1137","0","2",1997-01-02,"0",39.1,-121.5,"2",0,"2","2","1",10072.51,118000
"1141","0","1",1996-12-30,"0",39.8,-121.9,"2",0,"2","2","0",22651.31,50000
"1142","0","2",1998-02-02,"0",37.4,-122.1,"2",0,"2","2","1",48444.53,269500
"1143","0","2",1998-02-09,"0",39,-122.9,"2",0,"2","2","0",11927.18,223300
"1144","0","3",1998-02-03,"0",34.4,-119.2,"2",0,"2","2","0",4191.75,155000
"1145","0","3",1998-02-22,"0",34.4,-119.2,"2",0,"2","2","0",2052.75,155000
"1163","0","2",1997-01-01,"0",38.8,-122.5,"2",0,"2","2","1",3479.98,125000
"1167","0","2",1993-01-20,"0",38.3,-122.3,"3",0,"1","2","0",6599,195000
"1195","0","4",1998-02-03,"0",38.7,-121.5,"2",0,"2","2","0",2474.5,15000
"1196","0","1",1982-04-04,"0",37.6,-121.2,"2",0,"2","2","0",979.7,14000
"1197","0","1",1982-12-15,"0",37.6,-121.2,"2",0,"2","2","0",472.4,14000
"1203","0","2",1997-01-02,"0",39.1,-121.5,"2",0,"2","2","0",3500,53500
"1216","0","1",1997-01-02,"0",36.5,-118.9,"2",0,"2","2","0",15205.8,235000
"1227","0","2",1998-02-02,"0",34.1,-118.8,"3",0,"3","2","1",3089.3,190000
"1230","0","1",1998-01-18,"0",37.7,-122.5,"3",0,"3","2","1",14834.5,186700
"1231","0","1",2004-02-25,"0",37.7,-122.5,"3",0,"3","2","1",4384.43,278700
"1239","0","2",1997-01-05,"0",39.1,-121.6,"2",0,"2","2","0",25000,125000
"1257","1","2",1998-02-08,"0",34.2,-118.5,"2",0,"2","1","0",2360.67,25000
"1261","0","2",1998-02-02,"0",34.3,-118.5,"2",0,"2","2","1",525.5,188000
"1263","0","2",1998-03-18,"0",33,-117,"2",0,"2","2","1",617.85,310000
"1264","0","1",1998-02-23,"0",33.8,-118.3,"3",0,"3","2","0",240,93000
"1267","0","2",1998-02-02,"0",34.2,-118.5,"3",0,"3","2","1",5622.58,310000
"1272","0","2",1998-02-25,"0",35.3,-118.5,"2",0,"2","2","0",9356.51,158000
"1274","0","1",1998-02-03,"0",37.5,-122.3,"2",0,"2","2","0",2650,250000
"1275","0","2",1998-02-16,"0",34.2,-118.5,"3",0,"3","1","0",3900,310000
"1277","0","2",1983-12-03,"0",38.3,-122.3,"1",0,"3","2","0",7537.2,49000
"1289","0","1",1982-12-08,"0",37.7,-122.4,"2",0,"2","2","0",275.5,20000
"1291","0","3",1998-02-09,"0",33.6,-117.6,"3",0,"3","2","0",501,310000
"1294","0","2",1998-02-02,"0",38.2,-122.6,"2",0,"2","2","0",25000,25000
"1295","1","2",1998-02-06,"0",33.7,-117.8,"3",0,"3","2","0",2177.79,20000
"1299","0","2",1998-02-16,"0",39,-122.9,"1",0,"2","2","0",7500,150000
"1301","0","2",1983-01-23,"0",38.1,-122.6,"2",0,"2","2","0",2149.24,80000
"1306","0","1",1983-03-09,"0",38.6,-121.7,"2",0,"2","3","0",2050.5,25000
"1309","0","2",1987-12-07,"0",37.7,-122.5,"3",0,"3","3","0",2415.39,22100
"1320","0","4",1998-02-03,"0",38.8,-121.3,"2",0,"2","2","0",870.95,310000
"1321","0","2",1998-02-23,"0",34.2,-118.6,"2",0,"2","2","0",5753.55,310000
"1322","0","2",1998-02-07,"0",33.7,-118,"2",0,"2","2","0",1815.15,188000
"1323","0","1",1983-01-24,"0",37.7,-122.4,"2",0,"2","3","0",20000,20000
"1324","0","1",1983-11-14,"0",37.7,-122.4,"2",0,"2","3","0",20000,20000
"1335","0","3",1998-02-23,"0",33.8,-117.8,"3",0,"3","2","0",418.79,250000
"1338","0","2",1998-02-03,"0",34.2,-118.5,"2",0,"2","2","1",1295,310000
"1340","0","2",1998-02-23,"0",34.2,-118.3,"3",0,"3","2","0",804,125000
"1346","0","2",1998-03-25,"0",34.2,-118.5,"2",0,"2","2","0",5433.45,125000
"1351","0","1",1983-03-22,"0",37.6,-121.2,"2",0,"2","2","0",6815.99,135000
"1352","0","1",1998-02-03,"0",39.8,-121.9,"2",0,"2","2","0",3846.38,188000
"1357","0","1",1981-01-21,"0",37,-121.9,"2",0,"2","2","0",238.17,45000
"1372","0","1",1982-04-01,"0",38.6,-121.7,"3",0,"3","2","0",2881.94,120000
"1373","0","2",1983-02-27,"0",38.3,-122.3,"2",0,"2","3","0",7285.71,70000
"1375","0","2",1986-03-08,"0",38.3,-122.3,"2",0,"2","3","0",11991.3,73500
"1389","0","2",1998-02-07,"0",34.2,-118.6,"3",0,"3","2","0",3800,310000
"1391","0","2",1998-02-02,"0",37.2,-122.2,"2",0,"2","2","0",1005.75,250000
"1394","0","2",1998-02-24,"0",35.2,-118.5,"2",0,"2","2","1",3599.08,250000
"1396","0","2",1998-02-05,"0",34.1,-118.7,"2",0,"2","2","1",817,310000
"1404","0","2",1998-02-24,"0",33.2,-117.4,"2",0,"2","3","0",6432.06,35000
"1422","0","2",1998-03-01,"1",39,-122.9,"2",31,"2","2","0",1835.5,90000
"1425","0","2",1998-02-07,"0",34.3,-118.5,"3",0,"3","2","0",973.3,310000
"1429","0","3",1998-02-04,"0",34.3,-118.8,"3",0,"3","2","1",742.5,38000
"1431","0","1",1982-11-30,"0",37.7,-122.5,"3",0,"3","2","0",1669,60000
"1433","0","1",1998-03-15,"0",37.2,-121.7,"2",0,"2","2","1",100,300000
"1438","0","1",1998-02-03,"0",33.8,-118.2,"2",0,"2","3","0",12333.12,250000
"1442","0","2",1998-02-23,"0",34.1,-118.5,"2",0,"2","2","0",21747.67,310000
"1447","0","1",1998-02-02,"0",37.7,-122.1,"3",0,"3","1","0",19005.48,188000
"1457","0","2",1998-02-02,"0",38,-122,"2",0,"2","2","0",2097.5,45000
"1458","0","2",1995-03-08,"0",38.3,-122.3,"2",0,"3","1","0",2279.95,11600
"1459","0","2",2005-12-30,"0",38.3,-122.3,"2",0,"2","3","0",41909.3,46300
"1470","0","1",1985-03-10,"0",37.6,-121,"2",0,"2","2","0",337.69,50000
"1473","0","2",2010-01-19,"0",33.8,-118.1,"2",0,"2","2","1",2416.81,350000
"1488","0","1",1989-10-22,"0",37.6,-122.4,"2",0,"2","3","0",207.52,86300
"1491","0","2",2005-12-31,"0",38.3,-122.3,"2",0,"2","2","0",7432.02,396000
"1496","0","2",1997-01-24,"0",38.3,-122.3,"1",0,"3","2","0",186,162900
"1501","0","2",2006-01-01,"0",38.3,-122.3,"2",0,"2","2","1",24200,274200
"1505","0","2",2005-12-31,"0",38.3,-122.3,"2",12.8,"3","3","0",50001,50000
"1516","0","1",2017-02-10,"1",40.1,-120.9,"1",0,"3","2","1",4928.93,280000
"1527","0","1",2006-01-01,"0",38.5,-123,"2",0,"2","2","0",50000,300000
"1536","0","2",2005-12-31,"0",38.3,-122.3,"2",0,"1","3","0",136126.46,650000
"1537","0","2",2019-02-27,"0",38.3,-122.3,"2",21.7,"1","2","0",22285.44,950000
"1541","0","2",1986-02-18,"0",38.3,-122,"2",0,"2","2","0",631.15,74000
"1555","0","1",2017-02-01,"1",37.4,-121,"2",0,"3","2","0",8400,84100
"1559","0","4",1995-01-10,"0",38.7,-121.5,"3",34.3,"3","2","0",11945.9,185500
"1572","0","3",1998-02-03,"0",34.3,-119.4,"1",0,"3","2","0",252.08,310000
"1573","0","3",2005-01-10,"0",34.3,-119.4,"1",0,"3","2","1",5155.71,323000
"1579","0","2",2017-01-11,"1",38.8,-121.5,"2",0,"2","2","1",14190.33,318700
"1588","0","2",1995-03-09,"0",38.3,-122.3,"2",0,"2","3","0",2155.75,5000
"1589","0","2",1995-03-09,"0",38.3,-122.3,"3",0,"3","3","0",4250,5000
"1591","0","4",1995-01-10,"0",38.7,-121.5,"2",0,"2","2","0",21712.1,141400
"1597","0","2",1995-01-10,"0",34.1,-118.5,"3",0,"3","2","1",400,350000
"1604","0","1",1996-12-30,"0",40.6,-122.2,"2",64,"2","2","1",13833.58,217800
"1605","0","1",1995-01-04,"0",33.7,-118.1,"2",0,"2","2","0",6993.04,170000
"1611","0","2",1998-02-03,"0",37.2,-122.4,"2",30.2,"2","2","0",4346.91,150000
"1627","0","1",1998-02-06,"0",39,-122.9,"1",32.1,"2","2","0",15000,98000
"1633","0","1",1995-01-04,"0",33.7,-118.1,"3",0,"3","2","0",1251,55000
"1640","0","2",1995-01-10,"0",34.4,-119.6,"1",0,"3","2","1",8775.51,245000
"1641","0","2",1995-03-10,"0",34.4,-119.6,"1",0,"3","2","1",2394.44,245000
